Date,BITCOIN
2019-10-29,9411.3
2019-10-30,9157.9
2019-10-31,9152.6
2019-11-01,9230.1
2019-11-02,9300.6
2019-11-03,9198.3
2019-11-04,9396.4
2019-11-05,9310.8
2019-11-06,9338.9
2019-11-07,9223.5
2019-11-08,8778.2
2019-11-09,8804.5
2019-11-10,9036.8
2019-11-11,8736.9
2019-11-12,8812.6
2019-11-13,8783.1
2019-11-14,8661.2
2019-11-15,8476.3
2019-11-16,8497.3
2019-11-17,8509.8
2019-11-18,8208.4
2019-11-19,8145.7
2019-11-20,8099.3
2019-11-21,7627.9
2019-11-22,7272.5
2019-11-23,7324.1
2019-11-24,6924.7
2019-11-25,7115.6
2019-11-26,7162.8
2019-11-27,7510.6
2019-11-28,7426.7
2019-11-29,7742.7
2019-11-30,7546.6
2019-12-01,7396.4
2019-12-02,7298.2
2019-12-03,7291.8
2019-12-04,7204.4
2019-12-05,7399.2
2019-12-06,7530.8
2019-12-07,7510.9
2019-12-08,7524.4
2019-12-09,7355.8
2019-12-10,7235.7
2019-12-11,7208.0
2019-12-12,7208.0
2019-12-13,7255.2
2019-12-14,7080.8
2019-12-15,7128.5
2019-12-16,6903.5
2019-12-17,6613.3
2019-12-18,7276.0
2019-12-19,7165.5
2019-12-20,7196.4
2019-12-21,7156.2
2019-12-22,7495.8
2019-12-23,7322.8
2019-12-24,7268.3
2019-12-25,7224.8
2019-12-26,7210.9
2019-12-27,7261.7
2019-12-28,7321.5
2019-12-29,7397.5
2019-12-30,7261.8
2019-12-31,7196.4
2020-01-01,7199.8
2020-01-02,6967.0
2020-01-03,7343.1
2020-01-04,7376.8
2020-01-05,7372.5
2020-01-06,7759.1
2020-01-07,8155.7
2020-01-08,8059.6
2020-01-09,7842.4
2020-01-10,8187.1
2020-01-11,8024.1
2020-01-12,8187.6
2020-01-13,8111.4
2020-01-14,8829.2
2020-01-15,8818.3
2020-01-16,8726.9
2020-01-17,8913.1
2020-01-18,8916.3
2020-01-19,8706.2
2020-01-20,8641.9
2020-01-21,8732.6
2020-01-22,8678.5
2020-01-23,8405.1
2020-01-24,8439.9
2020-01-25,8341.6
2020-01-26,8607.8
2020-01-27,8866.6
2020-01-28,9377.3
2020-01-29,9298.9
2020-01-30,9507.3
2020-01-31,9349.1
2020-02-01,9381.6
2020-02-02,9334.9
2020-02-03,9296.6
2020-02-04,9193.9
2020-02-05,9611.8
2020-02-06,9772.0
2020-02-07,9818.6
2020-02-08,9895.5
2020-02-09,10151.5
2020-02-10,9854.1
2020-02-11,10229.5
2020-02-12,10317.7
2020-02-13,10235.1
2020-02-14,10333.0
2020-02-15,9907.7
2020-02-16,9932.3
2020-02-17,9701.4
2020-02-18,10158.4
2020-02-19,9609.4
2020-02-20,9602.4
2020-02-21,9684.5
2020-02-22,9655.7
2020-02-23,9942.7
2020-02-24,9662.7
2020-02-25,9317.2
2020-02-26,8800.3
2020-02-27,8818.6
2020-02-28,8697.5
2020-02-29,8543.7
2020-03-01,8540.0
2020-03-02,8904.8
2020-03-03,8761.4
2020-03-04,8757.9
2020-03-05,9060.3
2020-03-06,9134.8
2020-03-07,8887.8
2020-03-08,8034.1
2020-03-09,7933.0
2020-03-10,7891.2
2020-03-11,7935.1
2020-03-12,4826.0
2020-03-13,5584.3
2020-03-14,5182.7
2020-03-15,5366.3
2020-03-16,5030.0
2020-03-17,5261.1
2020-03-18,5361.4
2020-03-19,6172.0
2020-03-20,6205.3
2020-03-21,6186.2
2020-03-22,5822.1
2020-03-23,6468.9
2020-03-24,6744.6
2020-03-25,6678.9
2020-03-26,6725.1
2020-03-27,6373.4
2020-03-28,6233.7
2020-03-29,5890.4
2020-03-30,6391.0
2020-03-31,6412.5
2020-04-01,6638.5
2020-04-02,6800.5
2020-04-03,6735.9
2020-04-04,6857.4
2020-04-05,6772.7
2020-04-06,7332.3
2020-04-07,7185.2
2020-04-08,7361.2
2020-04-09,7289.0
2020-04-10,6863.1
2020-04-11,6867.8
2020-04-12,6917.6
2020-04-13,6841.3
2020-04-14,6850.9
2020-04-15,6629.1
2020-04-16,7085.6
2020-04-17,7035.8
2020-04-18,7230.8
2020-04-19,7122.9
2020-04-20,6833.5
2020-04-21,6842.5
2020-04-22,7112.9
2020-04-23,7488.5
2020-04-24,7503.8
2020-04-25,7540.4
2020-04-26,7678.9
2020-04-27,7766.0
2020-04-28,7746.9
2020-04-29,8770.9
2020-04-30,8629.0
2020-05-01,8821.6
2020-05-02,8966.3
2020-05-03,8885.5
2020-05-04,8874.7
2020-05-05,9001.0
2020-05-06,9151.4
2020-05-07,9979.8
2020-05-08,9806.2
2020-05-09,9554.6
2020-05-10,8738.8
2020-05-11,8579.8
2020-05-12,8813.8
2020-05-13,9298.7
2020-05-14,9778.4
2020-05-15,9318.0
2020-05-16,9379.5
2020-05-17,9677.7
2020-05-18,9730.7
2020-05-19,9773.3
2020-05-20,9512.3
2020-05-21,9059.0
2020-05-22,9169.7
2020-05-23,9177.0
2020-05-24,8728.2
2020-05-25,8898.2
2020-05-26,8842.5
2020-05-27,9199.1
2020-05-28,9572.2
2020-05-29,9424.8
2020-05-30,9692.5
2020-05-31,9454.8
2020-06-01,10189.3
2020-06-02,9527.6
2020-06-03,9667.2
2020-06-04,9794.4
2020-06-05,9631.2
2020-06-06,9669.6
2020-06-07,9742.6
2020-06-08,9777.9
2020-06-09,9768.8
2020-06-10,9878.8
2020-06-11,9283.2
2020-06-12,9466.6
2020-06-13,9471.3
2020-06-14,9345.3
2020-06-15,9425.4
2020-06-16,9523.5
2020-06-17,9464.6
2020-06-18,9388.1
2020-06-19,9314.0
2020-06-20,9358.8
2020-06-21,9296.4
2020-06-22,9683.7
2020-06-23,9624.6
2020-06-24,9302.0
2020-06-25,9247.5
2020-06-26,9160.0
2020-06-27,9008.3
2020-06-28,9124.0
2020-06-29,9185.4
2020-06-30,9135.4
2020-07-01,9229.9
2020-07-02,9085.1
2020-07-03,9067.1
2020-07-04,9134.4
2020-07-05,9081.0
2020-07-06,9339.0
2020-07-07,9256.0
2020-07-08,9429.9
2020-07-09,9235.7
2020-07-10,9285.1
2020-07-11,9233.3
2020-07-12,9300.8
2020-07-13,9243.6
2020-07-14,9253.4
2020-07-15,9198.7
2020-07-16,9135.3
2020-07-17,9155.8
2020-07-18,9170.2
2020-07-19,9208.0
2020-07-20,9162.4
2020-07-21,9387.3
2020-07-22,9513.7
2020-07-23,9599.6
2020-07-24,9546.4
2020-07-25,9704.1
2020-07-26,9932.5
2020-07-27,11022.8
2020-07-28,10908.5
2020-07-29,11105.9
2020-07-30,11096.2
2020-07-31,11333.4
2020-08-01,11803.1
2020-08-02,11066.8
2020-08-03,11224.4
2020-08-04,11184.7
2020-08-05,11735.1
2020-08-06,11757.1
2020-08-07,11592.0
2020-08-08,11764.3
2020-08-09,11681.2
2020-08-10,11889.2
2020-08-11,11390.4
2020-08-12,11557.2
2020-08-13,11770.9
2020-08-14,11750.8
2020-08-15,11845.3
2020-08-16,11899.0
2020-08-17,12282.6
2020-08-18,11947.6
2020-08-19,11750.2
2020-08-20,11856.9
2020-08-21,11529.2
2020-08-22,11661.3
2020-08-23,11641.6
2020-08-24,11753.5
2020-08-25,11324.8
2020-08-26,11462.3
2020-08-27,11327.4
2020-08-28,11527.4
2020-08-29,11468.1
2020-08-30,11702.0
2020-08-31,11644.2
2020-09-01,11914.9
2020-09-02,11413.3
2020-09-03,10168.8
2020-09-04,10472.5
2020-09-05,10092.2
2020-09-06,10296.4
2020-09-07,10376.9
2020-09-08,10126.6
2020-09-09,10224.6
2020-09-10,10339.7
2020-09-11,10390.2
2020-09-12,10441.9
2020-09-13,10326.0
2020-09-14,10675.3
2020-09-15,10785.3
2020-09-16,10949.5
2020-09-17,10941.3
2020-09-18,10933.0
2020-09-19,11081.8
2020-09-20,10921.5
2020-09-21,10416.8
2020-09-22,10531.5
2020-09-23,10237.3
2020-09-24,10739.4
2020-09-25,10688.8
2020-09-26,10727.9
2020-09-27,10776.2
2020-09-28,10693.2
2020-09-29,10840.9
2020-09-30,10776.1
2020-10-01,10620.5
2020-10-02,10572.3
2020-10-03,10544.2
2020-10-04,10672.9
2020-10-05,10789.5
2020-10-06,10602.6
2020-10-07,10670.9
2020-10-08,10924.1
2020-10-09,11054.2
2020-10-10,11298.4
2020-10-11,11371.0
2020-10-12,11533.9
2020-10-13,11423.8
2020-10-14,11420.4
2020-10-15,11503.0
2020-10-16,11322.0
2020-10-17,11362.1
2020-10-18,11506.9
2020-10-19,11753.4
2020-10-20,11913.5
2020-10-21,12808.7
2020-10-22,12974.6
2020-10-23,12934.1
2020-10-24,13117.2
2020-10-25,13032.2
2020-10-26,13061.6
2020-10-27,13657.8
2020-10-28,13278.9
2020-10-29,13461.4
